url,Monthly rental price,Bedrooms,Living area,lat,lon
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/6864155?searchId=5eab5fed60cab,790.0,1.0,80.0,51.0538948,3.734319
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8333468?searchId=5eab5fed60cab,1250.0,3.0,114.0,51.03689685,3.7095342510127924
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8623689?searchId=5eab5fed60cab,840.0,2.0,75.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8664377?searchId=5eab5fed60cab,850.0,1.0,103.0,50.9320197,3.618758
https://www.immoweb.be/en/classified/mansion/for-rent/gent/9000/8676290?searchId=5eab5fed60cab,1800.0,4.0,330.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8654579?searchId=5eab5fed60cab,750.0,1.0,83.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8603299?searchId=5eab5fed60cab,1350.0,3.0,146.0,51.0244916,3.7058459
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8685448?searchId=5eab5fed60cab,885.0,2.0,94.0,51.0408226,3.709655881020067
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8684348?searchId=5eab610e68ce3,1060.0,3.0,144.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8672397?searchId=5eab610e68ce3,850.0,3.0,100.0,51.022309,3.7349134
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8632342?searchId=5eab610e68ce3,683.0,1.0,58.0,51.0584236,3.7164607
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/5448548?searchId=5eab610e68ce3,720.0,1.0,68.0,51.0409492,3.7629064
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/4471270?searchId=5eab610e68ce3,535.0,1.0,35.0,51.037277,3.7093497
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676296?searchId=5eab610e68ce3,850.0,2.0,106.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8684675?searchId=5eab610e68ce3,1025.0,2.0,99.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676295?searchId=5eab610e68ce3,695.0,1.0,62.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/ground-floor/for-rent/gent/9000/6064164?searchId=5eab610e68ce3,580.0,1.0,55.0,51.0371046,3.7093649
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692394?searchId=5eab610e68ce3,675.0,1.0,58.0,50.97020375,3.517252002747259
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8596366?searchId=5eab610e68ce3,595.0,1.0,5.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8640814?searchId=5eab610e68ce3,600.0,1.0,50.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/loft/for-rent/gent/9000/8661859?searchId=5eab610e68ce3,840.0,1.0,97.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8643142?searchId=5eab610e68ce3,845.0,2.0,130.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8624965?searchId=5eab610e68ce3,1050.0,2.0,110.0,51.048823299999995,3.720837758547016
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8644971?searchId=5eab610e68ce3,925.0,3.0,120.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8470576?searchId=5eab610e68ce3,950.0,3.0,141.0,51.0457302,3.730653111277599
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8691184?searchId=5eab610e68ce3,825.0,2.0,80.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8652148?searchId=5eab610e68ce3,950.0,2.0,80.0,51.0384184,3.7262615
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676281?searchId=5eab610e68ce3,1125.0,3.0,153.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8585611?searchId=5eab610e68ce3,850.0,2.0,110.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8649445?searchId=5eab610e68ce3,698.0,2.0,95.0,51.060852,3.6918644
https://www.immoweb.be/en/classified/duplex/for-rent/gent/9000/8582804?searchId=5eab610e68ce3,990.0,2.0,103.0,51.0329604,3.70812168583298
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8623687?searchId=5eab610e68ce3,725.0,1.0,58.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8687125?searchId=5eab6225b5239,775.0,2.0,91.0,51.03581725,3.7158632893882175
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8656898?searchId=5eab6225b5239,795.0,2.0,85.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676578?searchId=5eab6225b5239,825.0,2.0,92.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8665957?searchId=5eab6225b5239,695.0,1.0,38.0,51.0371046,3.7093649
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8676294?searchId=5eab6225b5239,850.0,1.0,109.0,51.0498404,3.7225027
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8639577?searchId=5eab6225b5239,685.0,1.0,46.0,50.9320197,3.618758
https://www.immoweb.be/en/classified/ground-floor/for-rent/gent/9000/8384535?searchId=5eab6225b5239,775.0,2.0,74.0,51.0106982,3.637326
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8582110?searchId=5eab6225b5239,1300.0,2.0,160.0,51.0546322,3.7199171
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8657449?searchId=5eab6225b5239,1100.0,3.0,170.0,51.0244916,3.7058459
